County,Rainfall_mm,NDVI,Rainfall_Risk,NDVI_Risk,Drought_Risk
Turkana,499.79436764061313,0.2096694247972237,0.9045323692835355,0.862712647582865,88.36225084332003
Marsabit,352.75109207031073,0.1271836156489036,0.973015460206659,1.0,98.65077301033295
Mandera,318.56596930768154,0.183354837949968,0.9889366430100982,0.9065099988546998,94.7723320932399
Wajir,294.81131354272884,0.1651831869920962,1.0,0.9367544478673615,96.83772239336807
West Pokot,1246.1569810476567,0.4792757881855334,0.5569257309157913,0.41398644599056555,48.545608845317844
Samburu,551.2969850138089,0.3002466982845735,0.8805458359676268,0.7119580608892792,79.62519484284529
Isiolo,301.76149581160445,0.1677315956335885,0.9967630620141883,0.9325129391899316,96.463800060206
Baringo,1253.52305011509,0.5131428369670008,0.5534951002002111,0.35761896279076844,45.555703149548975
Keiyo-Marakwet,1851.627165408003,0.6710883080107634,0.2749375235260185,0.09473840467094763,18.483796409848306
Trans Nzoia,1830.214565650724,0.6109607258432731,0.2849101047976941,0.19481327389088055,23.986168934428733
Bungoma,2178.794342760797,0.6166529637672925,0.12256456075832722,0.18533925306249954,15.39519069104134
Garissa,423.1310050447579,0.2544675661363845,0.940237123620392,0.788151722726044,86.4194423173218
Uasin Gishu,1726.1397992110649,0.5545894524789864,0.33338128897967567,0.2886362351065441,31.10087620431099
Kakamega,2427.7428929131597,0.6448976262118058,0.006620692334960321,0.13832953142722504,7.247511188109268
Laikipia,916.2206577006943,0.4240459250744522,0.7105883798399053,0.5059096720481178,60.82490259440115
Busia,2076.7261368365057,0.5397809175958204,0.17010122096643987,0.3132831964236238,24.16922086950318
Meru,1058.45275311252,0.404116749149766,0.6443460203406608,0.5390793023979366,59.171266136929866
Nandi,2160.9308197943915,0.710161160212178,0.13088421538225292,0.029706510269903452,8.029536282607818
Siaya,1652.9020463434526,0.403473494843053,0.36749061950965256,0.5401499190483805,45.382026927901656
Nakuru,1267.8937545802437,0.55508066618554,0.5468021708112303,0.28781867109232095,41.731042095177564
Vihiga,2441.958493791464,0.6855831132019952,0.0,0.07061360733849775,3.5306803669248876
Nyandarua,1407.376671287021,0.6198795029936325,0.48184019801781464,0.17996908051490723,33.09046392663609
Tharaka,1062.4463420409852,0.3734907672118021,0.6424860691620917,0.5900524336413693,61.62692514017305
Kericho,1848.857447353901,0.6970076625493427,0.27622747611035003,0.051598868334895576,16.39131722226228
Kisumu,1815.616685023086,0.399021257213836,0.2917088379082704,0.5475601138777488,41.96344758930096
Nyeri,1419.0118810532983,0.6497057166900136,0.47642128222419444,0.130327063866432,30.33741730453132
Tana River,423.5676683182993,0.1998727443327526,0.9400337545744513,0.8790180016471684,90.95258781108097
Kitui,722.6441800714127,0.2569388227458064,0.8007435771221227,0.7840386239936205,79.23911005578717
Kirinyaga,1306.0953525425173,0.5274634413520362,0.5290103779086832,0.3337841009965472,43.13972394526152
Embu,1100.9076905465924,0.3789155132121778,0.6245733015328359,0.5810236197930638,60.279846066294986
Homa Bay,1415.7795765732694,0.3460109834869383,0.4779266771546222,0.6357891099440571,55.685789354933966
Bomet,1664.5678658373874,0.7280096035934783,0.36205744771721715,0.0,18.102872385860856
Nyamira,1830.5649154779364,0.7092983811379543,0.2847469348806826,0.031142498545269515,15.794471671297606
Narok,1194.9553020207388,0.494469361863324,0.5807721069341258,0.38869863557183226,48.4735371252979
Kisii,1855.540001863518,0.6936696262269577,0.27311518154056524,0.057154613907427265,16.513489772399627
Murang'a,1385.4668567102883,0.5997491766721036,0.4920443492647706,0.21347350063893478,35.27589249518527
Migori,1305.2693899106343,0.4601628077525745,0.5293950570026367,0.4457976206342331,48.75963388184349
Kiambu,1237.8319787500916,0.5322688896300461,0.5608029696883103,0.32578603104879167,44.3294500368551
Machakos,1031.1717432197015,0.2835740854445547,0.6570517212557039,0.7397075477199933,69.83796344878486
Kajiado,898.806858012582,0.2491714591667093,0.7186985829262605,0.7969664329348902,75.78325079305755
Nairobi,1041.976642720584,0.3472628359015206,0.6520195093979071,0.6337055575683272,64.28625334831172
Makueni,940.465211555562,0.2948795201272142,0.6992968605263299,0.7208910602352636,71.00939603807967
Lamu,655.6782239028564,0.4631343638077321,0.8319319170666619,0.4408518358067104,63.63918764366861
Kilifi,640.5344802841446,0.3513507983627382,0.8389848772726582,0.6269016533710361,73.29432653218471
Taita Taveta,547.4349616972451,0.2588208779609094,0.8823445125334859,0.7809061775734156,83.16253450534508
Kwale,764.2920479369412,0.3404025605902316,0.7813467382614052,0.6451236311019937,71.32351846816995
Mombasa,816.5041764801482,0.316730057965764,0.7570297612867953,0.6845235623623762,72.07766618245857
