County,NDVI
Turkana,0.2096694247972237
Marsabit,0.12718361564890368
Mandera,0.183354837949968
Wajir,0.16518318699209628
West Pokot,0.47927578818553346
Samburu,0.30024669828457357
Isiolo,0.16773159563358853
Baringo,0.5131428369670008
Keiyo-Marakwet,0.6710883080107634
Trans Nzoia,0.6109607258432731
Bungoma,0.6166529637672925
Garissa,0.25446756613638455
Uasin Gishu,0.5545894524789864
Kakamega,0.6448976262118058
Laikipia,0.42404592507445227
Busia,0.5397809175958204
Meru,0.404116749149766
Nandi,0.710161160212178
Siaya,0.40347349484305306
Nakuru,0.55508066618554
Vihiga,0.6855831132019952
Nyandarua,0.6198795029936325
Tharaka,0.3734907672118021
Kericho,0.6970076625493427
Kisumu,0.399021257213836
Nyeri,0.6497057166900136
Tana River,0.1998727443327526
Kitui,0.25693882274580643
Kirinyaga,0.5274634413520362
Embu,0.37891551321217787
Homa Bay,0.3460109834869383
Bomet,0.7280096035934783
Nyamira,0.7092983811379543
Narok,0.494469361863324
Kisii,0.6936696262269577
Murang'a,0.5997491766721036
Migori,0.4601628077525745
Kiambu,0.5322688896300461
Machakos,0.2835740854445547
Kajiado,0.24917145916670938
Nairobi,0.3472628359015206
Makueni,0.29487952012721425
Lamu,0.46313436380773215
Kilifi,0.35135079836273825
Taita Taveta,0.25882087796090947
Kwale,0.3404025605902316
Mombasa,0.316730057965764
