County,Rainfall_mm,NDVI,Rainfall_Risk,NDVI_Risk,Drought_Risk,Temperature_C
Turkana,499.79436764061313,0.2096694247972237,0.9045323692835356,0.862712647582865,88.36225084332003,35.86
Marsabit,352.75109207031073,0.1271836156489036,0.973015460206659,1.0,98.65077301033295,34.07
Mandera,318.56596930768154,0.183354837949968,0.9889366430100982,0.9065099988546998,94.7723320932399,33.73
Wajir,294.81131354272884,0.1651831869920962,1.0,0.9367544478673616,96.83772239336808,34.94
West Pokot,1246.1569810476567,0.4792757881855334,0.5569257309157913,0.4139864459905655,48.54560884531784,27.5
Samburu,551.2969850138089,0.3002466982845735,0.8805458359676268,0.7119580608892792,79.62519484284529,30.61
Isiolo,301.76149581160445,0.1677315956335885,0.9967630620141884,0.9325129391899316,96.463800060206,34.84
Baringo,1253.52305011509,0.5131428369670008,0.5534951002002111,0.3576189627907684,45.555703149548975,27.71
Keiyo-Marakwet,1851.627165408003,0.6710883080107634,0.2749375235260185,0.0947384046709476,18.483796409848303,21.75
Trans Nzoia,1830.214565650724,0.6109607258432731,0.2849101047976941,0.1948132738908805,23.986168934428733,24.0
Bungoma,2178.794342760797,0.6166529637672925,0.1225645607583272,0.1853392530624995,15.39519069104134,23.89
Garissa,423.1310050447579,0.2544675661363845,0.940237123620392,0.788151722726044,86.4194423173218,32.59
Uasin Gishu,1726.1397992110649,0.5545894524789864,0.3333812889796756,0.2886362351065441,31.10087620431099,23.47
Kakamega,2427.74289291316,0.6448976262118058,0.0066206923349603,0.138329531427225,7.247511188109268,25.17
Laikipia,916.2206577006943,0.4240459250744522,0.7105883798399053,0.5059096720481178,60.82490259440115,26.4
Busia,2076.7261368365057,0.5397809175958204,0.1701012209664398,0.3132831964236238,24.16922086950318,26.5
Meru,1058.45275311252,0.404116749149766,0.6443460203406608,0.5390793023979366,59.171266136929866,26.59
Nandi,2160.9308197943915,0.710161160212178,0.1308842153822529,0.0297065102699034,8.029536282607818,23.38
Siaya,1652.9020463434526,0.403473494843053,0.3674906195096525,0.5401499190483805,45.382026927901656,26.01
Nakuru,1267.8937545802437,0.55508066618554,0.5468021708112303,0.2878186710923209,41.73104209517757,23.24
Vihiga,2441.958493791464,0.6855831132019952,0.0,0.0706136073384977,3.530680366924888,24.45
Nyandarua,1407.376671287021,0.6198795029936325,0.4818401980178146,0.1799690805149072,33.09046392663609,20.19
Tharaka,1062.4463420409852,0.3734907672118021,0.6424860691620917,0.5900524336413693,61.62692514017305,28.43
Kericho,1848.857447353901,0.6970076625493427,0.27622747611035,0.0515988683348955,16.39131722226228,23.27
Kisumu,1815.616685023086,0.399021257213836,0.2917088379082704,0.5475601138777488,41.96344758930096,26.77
Nyeri,1419.0118810532983,0.6497057166900136,0.4764212822241944,0.130327063866432,30.33741730453132,20.21
Tana River,423.5676683182993,0.1998727443327526,0.9400337545744512,0.8790180016471684,90.95258781108096,33.03
Kitui,722.6441800714127,0.2569388227458064,0.8007435771221227,0.7840386239936205,79.23911005578717,30.6
Kirinyaga,1306.0953525425173,0.5274634413520362,0.5290103779086832,0.3337841009965472,43.13972394526152,23.48
Embu,1100.9076905465924,0.3789155132121778,0.6245733015328359,0.5810236197930638,60.279846066294986,26.59
Homa Bay,1415.7795765732694,0.3460109834869383,0.4779266771546222,0.6357891099440571,55.685789354933966,26.06
Bomet,1664.5678658373874,0.7280096035934783,0.3620574477172171,0.0,18.102872385860856,22.49
Nyamira,1830.5649154779364,0.7092983811379543,0.2847469348806826,0.0311424985452695,15.794471671297606,22.8
Narok,1194.9553020207388,0.494469361863324,0.5807721069341258,0.3886986355718322,48.4735371252979,24.77
Kisii,1855.540001863518,0.6936696262269577,0.2731151815405652,0.0571546139074272,16.513489772399627,23.64
Murang'a,1385.4668567102883,0.5997491766721036,0.4920443492647706,0.2134735006389347,35.27589249518527,23.04
Migori,1305.2693899106343,0.4601628077525745,0.5293950570026367,0.4457976206342331,48.75963388184349,26.24
Kiambu,1237.8319787500916,0.5322688896300461,0.5608029696883103,0.3257860310487916,44.3294500368551,23.2
Machakos,1031.1717432197015,0.2835740854445547,0.6570517212557039,0.7397075477199933,69.83796344878486,27.51
Kajiado,898.806858012582,0.2491714591667093,0.7186985829262605,0.7969664329348902,75.78325079305755,29.47
Nairobi,1041.976642720584,0.3472628359015206,0.6520195093979071,0.6337055575683272,64.28625334831172,26.07
Makueni,940.465211555562,0.2948795201272142,0.6992968605263299,0.7208910602352636,71.00939603807967,28.62
Lamu,655.6782239028564,0.4631343638077321,0.8319319170666619,0.4408518358067104,63.63918764366861,27.88
Kilifi,640.5344802841446,0.3513507983627382,0.8389848772726582,0.6269016533710361,73.29432653218471,30.21
Taita Taveta,547.4349616972451,0.2588208779609094,0.8823445125334859,0.7809061775734156,83.16253450534508,30.12
Kwale,764.2920479369412,0.3404025605902316,0.7813467382614052,0.6451236311019937,71.32351846816995,30.15
Mombasa,816.5041764801482,0.316730057965764,0.7570297612867953,0.6845235623623762,72.07766618245857,29.34
